0718,U,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.12,Captain: Station only
Ahvix,R,5.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,Captain & Officer: vs. Eclipse only! Officer: useless - too weak!!
Airiam,U,3.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,Captain: Isogen Mining; Officer: Capture Node only
Alonzo Freeman,R,,4.0,4.0,4.0,,4.0,,3.0,4.0,3.0,,3.0,3.5,Below Decks: Increases FKR rep; Officer: Increases max cargo
Andy Billups,E,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,Below Deck: Increase Isolytic Defence if on an Battleship and enemy player has Burning; Officer: Huge Isolytic Cascade damage increase when fighting players whilst on an Interceptor and enemy player has Hull Breach
Arix,U,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Captain: very low chance of a 1x Round Burning;  Officer: too hard to activate
Arkady,U,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Captain: **FIXED** - Correctly gives 2 rounds of Morale.
Arrock,R,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,Captain: Good increase to Concentrated Latinum mining; Officer: Increase to mining speed.
Azetbur,R,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.5,3.5,Captain: Small chance to get you a Hull Breach; Officer = only increase of BASE values !
B'Etor,R,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Captain: Increase Cloaking duration; Officer: Increases the Amalgam bonus loot ability
Ba'el,R,5.0,3.0,3.0,3.0,5.0,3.5,2.0,2.0,2.0,2.0,3.0,2.0,2.5,"Captain: Small increase to base damage; Officer: Anti Trinity officer to counter Armor Piercing, increases Armor based on officer attack."
B'Elanna Torres,R,,4.0,4.0,4.0,,4.0,,1.0,1.0,1.0,,1.0,2.5,Below Decks: Chance each round to apply Hull Breach to non-Player hostiles or Armada; Officer: Increases Penetration against non-player when hit
Badgey,U,2.0,2.0,3.0,3.0,3.0,2.5,3.0,3.0,4.0,3.0,4.0,3.0,2.5,Below Decks: Small increase to Penetration; Officer: Decreased opponents mitigation by a small amount.
Barot,R,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,3.5,2.5,Captain: Crystal mining;  Officer ability: (**Broken does not work**)
Beckett Mariner,E,2.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.5,2.0,Below Decks: Reasonable increase to damage; Officer Ability: Small increase of Officer's Attack
Benjamin Sisko,E,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,Captain: Good in mitigation against Armadas; Officer: Good increase in Criticals against Armadas.
Beverly Crusher,R,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.5,1.0,3 in 1 Officer - both abilities extremly good - only for PvE and Armada
Bones,R,1.0,2.0,2.0,1.0,2.0,1.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,Captain: boost all combat abilities = can boost spock to 1065% and Kirk to 100%
Borg Queen,E,4.0,5.0,4.0,4.0,,4.0,3.0,4.0,4.0,4.0,,3.5,3.5,Below Decks: Increases penetration stats against players with Assimilate effect; Officer: Increase critical chance against Borg Solo armadas cumulatively when hit.
Brad Boimler,R,3.0,2.0,3.0,3.0,3.0,,3.0,2.0,3.0,3.0,4.0,3.0,3.0,Below Decks: Reasonable increase to mitigation; Officer Ability: Small increase to piercing stats
Cadet Kirk,C,1.0,1.0,1.0,1.0,5.0,1.5,1.0,1.0,1.0,1.0,5.0,1.5,1.5,"Captain: very weak, but can cause Temporary Hit points; Officer: Dmg Buff is twice as displayed"
Cadet McCoy,C,2.0,2.0,2.0,1.0,1.0,1.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,Captain: useless; Officer: recommended boost Cadet Uhura´s captain ability
Cadet Scotty,C,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Captain: useless; Officer: Increase Warp Range  (up to +5)
