																																																																																				
																																																																																				
		Voyager Hostile Loot Chests & Ship Ability																									Commerce Exchanges - 22 Hour Cooldown																																																									
			Hirogen Loot Exchange (1 day cooldown)							Species 8472 Loot Exchange (3 day cooldown)									8472 Scanning		Player Base Scanning								Explorer, Battleship, Interceptor, Survey								Frank-A				Amalgam							D'vor Feesha					Cerritos																Hirogen Loot Exchange (1 day cooldown)							Species 8472 Loot Exchange (3 day cooldown)								
		Cost:	Hirogen Relics							Costs Exotic Biotoxins									Costs 500 DC		Costs 750 DC								3*	4*	4*	4*	5*	5*	5*		MkII Parts (chance)			Ship XP	Tracker	Ship XP	Amalgam Parts (chance)			Refinery Token (Chance)		Lat	Feesha Parts (Chance)			Ship XP	Cerritos Parts (Chance)			Culver Particles (chance)		Ship XP											Hirogen Relics							Costs Exotic Biotoxins								
		Tier	1 Chest	2 Chest	3 Chest	Deuterium	Circuitry Fragments (chance)			1 Chest	2 Chest	3 Chest	Commerce Insignia	Warp Cell	Voyager Parts (chance)				Cooldown		Cooldown						Tier	1 Chest	Com	Com	Unc	Rare	Com	Unc	Rare	Ship XP																							Tier										1 Chest	2 Chest	3 Chest	Deuterium	Circuitry Fragments (chance)			1 Chest	2 Chest	3 Chest	Commerce Insignia	Warp Cell	Voyager Parts (chance)			
		1	670	1,550	3,320	500	5	10	15	3,460	6,920	12,100	100	1	50	70	90	110	1m		30m						1	100	700							40,000	240	360	400	20,000	36	20,000	4,000	6,000	6,800	270	450	3,850	1,600	2,500	2,800	20,000	1,200	1,800	2,000	8,000	12,000	20,000	1										670	1,550	3,320	500	5	10	15	3,460	6,920	12,100	100	1	50	70	90	110
		2	850	1,970	4,220	500	6	11	17	4,390	8,760	15,360	100	1	70	90	110	140	1m		30m						2	100	750							45,000	480	720	800	24,000	40	24,000	5,250	8,000	8,900	305	500	4,100	1,850	2,800	3,100	24,000	2,600	3,900	4,400	18,200	26,000	24,000	2										850	1,970	4,220	500	6	11	17	4,390	8,760	15,360	100	1	70	90	110	140
		3	1,100	2,400	5,200	500	7	13	19	5,400	10,700	18,800	100	1	90	110	140	170	1m		30m						3	100	800							50,000	3,740	4,870	5,990	25,000	45	25,000	6,400	9,600	10,600	350	550	4,350	2,300	3,450	3,850	25,000	3,300	5,000	5,600	22,400	33,600	25,000	3										1,100	2,400	5,200	500	7	13	19	5,400	10,700	18,800	100	1	90	110	140	170
		4	1,500	3,500	7,400	500	9	17	25	7,700	15,400	26,900	100	1	100	120	160	190	1m								4	100		9,400	420/620/1,040	60/90/155				55,000	4,490	6,740	7,480	26,000	50	26,000	9,400	14,000	15,700	405	620	7,000	2,500	3,650	4,000	26,000	4,650	7,000	7,800	23,200	34,800	26,000	4										1,500	3,500	7,400	500	9	17	25	7,700	15,400	26,900	100	1	100	120	160	190
		5	1,900	4,300	9,100	500	10	20	29	9,400	18,800	32,800	100	1	140	170	230	270	1m								5	100		9,600	430/640/1,070	65/95/160				60,000	24,000	36,000	40,000	29,000	60	29,000	11,800	17,500	19,600	450	675	7,300	8,000	12,000	13,000	29,000	8,400	12,600	14,000	25,600	38,400	29,000	5										1,900	4,300	9,100	500	10	20	29	9,400	18,800	32,800	100	1	140	170	230	270
		6	3,700	8,600	18,500	500	12	24	35	19,100	38,200	66,800	100	1	210	270	360	430	50s								6	100		9,900	440/670/1,110	70/100/165				75,000	430,000	650,000	730,000	33,000	70	33,000	12,700	20,400	22,900	500	720	8,000	9,800	14,700	16,000	33,000	13,300	19,500	22,000	27,200	40,800	33,000	6										3,700	8,600	18,500	500	12	24	35	19,100	38,200	66,800	100	1	210	270	360	430
		7	4,200	9,700	20,700	500	14	28	41	24,300	48,500	84,900	100	1	300	380	500	600	48s								7	100		10,000	460/680/1,140	75/105/170				85,000	1,600,000	2,200,000	2,700,000	45,000	80	45,000	14,000	21,000	24,100	540	765	8,500	10,900	16,300	18,200	45,000	16,800	25,200	28,000	28,800	43,200	45,000	7										4,200	9,700	20,700	500	14	28	41	24,300	48,500	84,900	100	1	300	380	500	600
		8	5,400	12,500	26,600	500	18	36	53	35,500	71,000	124,300	100	1	340	420	560	670	46s								8	100					6,800	120/180/300	5/10/15	180,000	1,900,000	2,400,000	3,200,000	90,000	90	90,000	15,300	22,900	25,500	585	810	15,600	34,000	50,900	56,600	90,000	17,500	25,900	28,700	30,600	45,000	90,000	8										5,400	12,500	26,600	500	18	36	53	35,500	71,000	124,300	100	1	340	420	560	670
		9	6,000	14,000	29,800	500	19	38	57	45,200	90,400	158,200	100	1	420	530	710	850	44s								9	100					7,000	330/490/820	20/30/55	210,000	2,100,000	3,200,000	4,000,000	100,000	100	100,000	15,900	23,500	26,100	630	855	16,200	37,700	56,500	62,800	100,000	18,200	26,600	29,400	21,600	39,600	100,000	9										6,000	14,000	29,800	500	19	38	57	45,200	90,400	158,200	100	1	420	530	710	850
		10	6,700	15,600	33,400	500	20	40	60	57,500	115,000	201,200	100	1	530	660	890	1,060	42s		13m 20s						10	100					7,200	340/510/850	25/35/60	250,000	2,400,000	4,000,000	4,500,000	115,000	105	115,000	16,500	24,100	26,700	675	900	16,500	39,000	58,000	64,000	115,000	18,900	27,300	30,100	23,400	41,400	115,000	10													500	21	41	62	57,500	115,000	201,250	100	1	585	730	975	1,170
		11	7,500	17,500	37,400	500	22	44	66	73,100	146,200	255,800	100	1	750	930	1,240	1,490									11	100					7,400	350/530/880	30/40/65	260,000	2,600,000	4,300,000	4,700,000	120,000	110	120,000	17,000	24,800	27,400	725	945	17,800	41,000	60,000	66,000	120,000	19,600	28,000	30,800	25,200	43,200	120,000	11										7,500	17,500	37,400	500	22	44	66	73,100	146,200	255,800	100	1	750	930	1,240	1,490
		12	8,400	19,600	41,900	500	24	47	70	93,000	185,900	325,300	100	1	940	1,170	1,560	1,870									12	100					7,600	360/540/900	35/45/70	280,000	3,200,000	4,800,000	5,300,000	125,000	120	125,000	17,800	25,500	28,000	765	985	18,200	43,000	62,000	68,000	125,000	20,300	28,700	31,500	26,100	45,000	125,000	12										8,400	19,600	41,900	500	24	47	70	93,000	185,900	325,300	100	1	940	1,170	1,560	1,870
																											Created by: @JulesVern, @BlueMandalorian and the STFC Community																=Guesstimations															Upd: 8/11/23																										
		Common Anomaly Sample Exchange - 5 day cooldown																																																																																		
			Anomaly Samples			Circuitry Fragments (chance)                          			Voyager Ship Parts (chance)			Artifacts																																																				Anomaly Samples			Circuitry Fragments (chance)                          			Voyager Ship Parts (chance)			Artifacts											
		Cost:										"Artifact Hunting Extraordinaire" adds +1 roll per level per chest																																																													"Artifact Hunting Extraordinaire" adds +1 roll per level per chest											
		Tier	1 Chest	2 Chest	3 Chest	(Research Currency)						Uncommon (50%)				Rare (30%)				Epic (20%)																																												1 Chest	2 Chest	3 Chest	(Research Currency)						Uncommon (50%)				Rare (30%)				Epic (20%)			
		1	30,000	75,000	150,000	385	430	575	25	65	135	4	5	7	30	3	7	10	50	4	8	12	100																																									30,000	75,000	150,000	385	430	575	25	65	135	4	5	7	30	3	7	10	50	4	8	12	100
		2	35,000	95,000	190,000	440	495	660	35	80	170	4	5	7	30	3	7	10	50	4	8	12	100																																									35,000	95,000	190,000	440	495	660	35	80	170	4	5	7	30	3	7	10	50	4	8	12	100
		3	40,000	115,000	230,000	505	570	760	45	100	215	4	5	7	30	3	7	10	50	4	8	12	100																																									40,000	115,000	230,000	505	570	760	45	100	215	4	5	7	30	3	7	10	50	4	8	12	100
		4	95,000	245,000	490,000	660	740	985	50	115	240	5	6	8	30	4	8	14	50	5	9	14	100																																									95,000	245,000	490,000	660	740	985	50	115	240	5	6	8	30	4	8	14	50	5	9	14	100
		5	120,000	325,000	660,000	765	860	1,145	70	160	340	5	6	8	30	4	8	14	50	5	9	14	100																																									120,000	325,000	660,000	765	860	1,145	70	160	340	5	6	8	30	4	8	14	50	5	9	14	100
		6	150,000	430,000	870,000	930	1,050	1,395	105	250	535	5	6	8	30	4	8	14	50	5	9	14	100																																									150,000	430,000	870,000	930	1,050	1,395	105	250	535	5	6	8	30	4	8	14	50	5	9	14	100
		7	205,000	530,000	1,050,000	1,080	1,215	1,620	150	350	755	5	6	8	30	4	8	14	50	5	9	14	100																																									205,000	530,000	1,050,000	1,080	1,215	1,620	150	350	755	5	6	8	30	4	8	14	50	5	9	14	100
		8	370,000	920,000	1,800,000	1,405	1,580	2,110	170	385	845	6	7	9	30	5	9	15	50	6	10	15	100																																									370,000	920,000	1,800,000	1,288	1,448	1,930	180	423	908	6	7	9	30	5	9	15	50	6	10	15	100
		9	430,000	1,100,000	2,300,000	1,495	1,680	2,240	210	495	1,060	6	7	9	30	5	9	15	50	6	10	15	100																																									430,000	1,100,000	2,300,000	1,495	1,680	2,240	210	495	1,060	6	7	9	30	5	9	15	50	6	10	15	100
		10	480,000	1,400,000	2,800,000	1,585	1,785	2,380	265	620	1,330	6	7	9	30	5	9	15	50	6	10	15	100																																									480,000	1,400,000	2,800,000	1,585	1,785	2,380	265	620	1,330	6	7	9	30	5	9	15	50	6	10	15	100
		11	680,000	1,800,000	3,700,000	1,735	1,955	2,605	375	870	1,865	6	7	9	30	5	9	15	50	6	10	15	100																																									680,000	1,800,000	3,700,000	1,735	1,955	2,605	375	870	1,865	6	7	9	30	5	9	15	50	6	10	15	100
		12	950,000	2,300,000	4,600,000	1,845	2,075	2,765	470	1,095	2,340	6	7	9	30	5	9	15	50	7	11	16	100																																									950,000	2,300,000	4,600,000	1,845	2,075	2,765	470	1,095	2,340	6	7	9	30	5	9	15	50	7	11	16	100
																																																																		Rare Anomaly Samples		Commerce Insignia	Circuitry Fragments (chance)                          			Voyager Ship Parts (chance)			Artifacts									
		Rare Anomaly Sample Exchange - 7 day cooldown																																																															Cost:										"Artifact Hunting Extraordinaire" adds +1 roll per level per chest									
			Rare Anomaly Samples		Commerce Insignia	Circuitry Fragments (chance)                          			Voyager Ship Parts (chance)			Artifacts																																																					Tier	1 Chest	2 Chest		(Research Currency)						Uncommon (11%)			Rare (56%)			Epic (33%)			
		Cost:										"Artifact Hunting Extraordinaire" adds +1 roll per level per chest																																																					1	32,000	400,000	100	625	790	935	30	90	135	1	4	9	1	2	5	1	2	5	
		Tier	1 Chest	2 Chest		(Research Currency)						Uncommon (11%)			Rare (56%)			Epic (33%)																																															2	40,000	500,000	100	715	910	1,075	40	115	170	1	5	10	1	3	5	1	3	5	
		1	32,000	400,000	100	625	790	935	30	90	135	1	4	9	1	2	5	1	2	5																																													3	50,000	600,000	100	820	1,045	1,230	50	145	215	1	5	11	1	4	5	1	4	5	
		2	40,000	500,000	100	715	910	1,075	40	115	170	1	5	10	1	3	5	1	3	5																																													4	85,000	1,000,000	100	1,070	1,355	1,605	55	160	240	2	5	12	2	4	5	2	4	5	
		3	50,000	600,000	100	820	1,045	1,230	50	145	215	1	5	11	1	4	5	1	4	5																																													5	115,000	1,400,000	100	1,240	1,575	1,860	80	225	340	2	6	13	2	4	6	2	4	6	
		4	85,000	1,000,000	100	1,070	1,355	1,605	55	160	240	2	5	12	2	4	5	2	4	5																																													6	150,000	1,800,000	100	1,515	1,920	2,270	125	355	535	2	7	14	2	4	7	2	4	7	
		5	115,000	1,400,000	100	1,240	1,575	1,860	80	225	340	2	6	13	2	4	6	2	4	6																																													7	195,000	2,300,000	100	1,760	2,230	2,635	175	500	755	3	8	15	2	4	8	2	4	8	
		6	150,000	1,800,000	100	1,515	1,920	2,270	125	355	535	2	7	14	2	4	7	2	4	7																																													8	370,000	4,400,000	100	2,285	2,900	3,430	195	560	845	4	9	15	2	4	8	3	5	8	
		7	195,000	2,300,000	100	1,760	2,230	2,635	175	500	755	3	8	15	2	4	8	2	4	8																																													9	450,000	5,400,000	100	2,430	3,080	3,645	245	705	1,060	5	9	15	2	4	8	4	6	8	
		8	370,000	4,400,000	100	2,285	2,900	3,430	195	560	845	4	8	15	2	4	8	3	5	8																																													10	560,000	6,800,000	100	2,625	3,330	3,938	340	975	1,463	6	10	16	3	4	9	4	7	9	
		9	450,000	5,400,000	100	2,430	3,080	3,645	245	705	1,060	5	9	15	2	4	8	4	6	8																																													11	695,000	8,500,000	100	2,820	3,580	4,230	435	1,245	1,865	6	11	17	3	4	10	5	7	10	
		10	560,000	6,800,000	100	2,580	3,275	3,870	310	885	1,330	5	10	16	3	4	9	5	7	9																																													12	930,000	11,000,000	100	2,995	3,800	4,495	545	1,560	2,340	7	13	20	3	5	10	5	8	11	
		11	695,000	8,500,000	100	2,820	3,580	4,230	435	1,245	1,865	6	11	17	3	4	10	5	7	10																																																																
		12	930,000	11,000,000	100	2,995	3,800	4,495	545	1,560	2,340	7	13	20	3	5	10	5	8	11																																																																
		Created by: @JulesVern, @BlueMandalorian and the STFC Community										=Guesstimations							Upd: 8/23/23																																																																	
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																															Tiering Changes Chart (weekly income)										Tiering Increases Chart (weekly averages)											
																																																															Tier	Average Max Chest Cost	Deuterium	Commerce Insignia	Warp Cell	Circuitry Fragments                    	Ship Parts	Unc	Rare	Epic	Tier	Average Max Chest Cost	Deuterium	Commerce Insignia	Warp Cell	Circuitry Fragments                    	Ship Parts	Unc	Rare	Epic		
																																																															1	165,368	10,500	900	7	3,723	1,045	12	11	8	1											
																																																															2	207,845	10,500	900	7	4,271	1,333	12	12	9	2	26%	0%	0%	0%	15%	28%	1%	3%	3%		
																																																															3	250,567	10,500	900	7	4,905	1,670	12	12	9	3	21%	0%	0%	0%	15%	25%	1%	3%	3%		
																																																															4	450,142	10,500	900	7	6,383	1,868	15	15	10	4	80%	0%	0%	0%	30%	12%	18%	24%	15%		
																																																															5	616,058	10,500	900	7	7,408	2,646	15	15	10	5	37%	0%	0%	0%	16%	42%	1%	2%	2%		
																																																															6	825,842	10,500	900	7	9,025	4,145	15	16	11	6	34%	0%	0%	0%	22%	57%	1%	2%	2%		
																																																															7	1,028,250	10,500	900	7	10,479	5,825	15	16	11	7	25%	0%	0%	0%	16%	41%	1%	2%	2%		
																																																															8	1,849,058	10,500	900	7	13,625	6,509	17	17	12	8	80%	0%	0%	0%	30%	12%	14%	8%	12%		
																																																															9	2,299,433	10,500	900	7	14,482	8,204	18	17	13	9	24%	0%	0%	0%	6%	26%	1%	0%	4%		
																																																															10	2,855,817	10,500	900	7	15,373	10,279	18	18	13	10	24%	0%	0%	0%	6%	25%	1%	4%	5%		
																																																															11	3,634,667	10,500	900	7	16,824	14,435	18	19	14	11	27%	0%	0%	0%	9%	40%	1%	2%	2%		
																																																															12	4,623,083	10,500	900	7	17,873	18,125	18	19	15	12	27%	0%	0%	0%	6%	26%	2%	2%	9%		
																																																															Created by: @JulesVern, @BlueMandalorian and the STFC Community																					
																																																																																				
																																																																																				
																																																																79,400	56,800	22,600																		
																																																																64,000	32,300	31,700																		
																																																																51,400	18,600	32,800																		
																																																																		87,100	5,444																	
																																																																		600	38																	
																																																																		8,000																		
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																		Per Ticket																		
																																																																Summer Hunt	Tickets	Loot	SLB points							Event	Max tickets									
																																																																Rookie	1	200	200		3600	3600				Rookie	18									
																																																																Journeyman	2	400	500		7200	9000				Journeyman	36									
																																																																Elite	3	700	900		8400	10800				Elite	36									
																																																																					19200	23400					90	Grand total								
																																																																											26	F2P								
																																																																	26										64	Remaining								
																																																																	24	5,600								Pack	tickets	Cooldown	max #	total tickets	total cost					
																																																																	2	400								20$	16	1 max	1	16	$20					
																																																																		6,000								10$	8	46 hour	3	24	$30					
																																																																		13,200								5$	4	22 hour	6	24	$30					
																																																																														64	$80					
																																																																Summer Hunt Comparison		Par/ore Summer Hunt	132 pulls	80% of monthly elite pack																
																																																																	Lat	18,300	2.42M	2.72M																
																																																																	RSS	40.00B	5.28T	2.56T																
																																																																3 * mats	com	258	34,056	41,544																
																																																																	unc	31	4,092	21,936																
																																																																	rare	17	2,244	3,840																
																																																																4* mats	com	797	105,204	175,200																
																																																																	unc	220	29,040	48,000																
																																																																	rare	60	7,920	6,720																
																																																																	epic	11	1,452	2,016																
																																																																5* mats	com	381	50,292	84,000																
																																																																	unc	117	15,444	25,848																
																																																																	rare	30	3,960	6,720																
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
