Mission Name,Rarity,Key Stat,Primary Rewards,Unnamed: 4,Unnamed: 5,Crit Rewards,Trait 1,Trait 2,Trait 3,Trait 4,Days,Min Crit %,Crit per trait,Trait Points,Max Crit %,Rewards,Traits,Unnamed: 20,Unnamed: 24,Top Traits,Unnamed: 26,Unnamed: 27,Top Officers,Unnamed: 29,TraitTier,Trait Level,Cost,Total Cost,Planning 1 List,Planning 2 List,Planning 3 List,Planning 4 List,Planning 5 List,Planning 6 List,Planning 7 List,Planning 8 List,Planning 9 List,Planning 10 List
Accelerated Bioforming,Rare,Health,Speedups,Service Awards,,Latinum,Physicist,Engineer,Inventor,Scientist,2 Days,20%,4.62%,13.0,80%,3* Common Materials,Adaptable,1.0,1.0,Resourceful,17.0,1.0,Mudd,37.0,T1/0,0.0,0,0,,,,,,,,,,
Address The High Council,Rare,Attack,Away Teams Credits,,,Klingon Credits,Relentless,Dedicated,Ruthless,Chancellor,1 Days,0%,5.00%,20.0,100%,3* Raw Materials,Admiral,1.0,2.0,Engineer,16.0,2.0,Trip Tucker,34.0,T1/1,1.0,"1,500","1,500", , , , , , , , , , 
Alliance Exocomps (Attack),Rare,Attack,Axionic Chips,,,Alliance Exocomp,Relentless,Rogue,Thief,Resourceful,3 Days,0%,3.00%,25.0,75%,4* Common Materials,Advisor,2.0,3.0,Miner,16.0,3.0,Dixon Hill,33.0,T1/2,2.0,"2,700","4,200", , , , , , , , , , 
Alliance Exocomps (Defence),Rare,Defence,Axionic Chips,,,Alliance Exocomp,Focused,Rogue,Thief,Resourceful,3 Days,0%,3.00%,25.0,75%,4* Raw Materials,Ambitious,1.0,4.0,Scientist,15.0,4.0,Laliari,33.0,T1/3,3.0,"3,800","8,000", , , , , , , , , , 
Alliance Exocomps (Health),Rare,Health,Axionic Chips,,,Alliance Exocomp,Leader,Rogue,Thief,Resourceful,3 Days,0%,3.00%,25.0,75%,Active Nanoprobes,Analytical,8.0,5.0,Warrior,12.0,5.0,SNW Pelia,33.0,T2/1,4.0,"7,650","15,650", , , , , , , , , , 
Alliance Exocomps Mk.II (Attack - Incomplete),Rare,Attack,,,,,Relentless,Rogue,Thief,Resourceful,3 Days,10%,3.00%,25.0,85%,Alliance Exocomp,Android,2.0,6.0,Charismatic,10.0,6.0,T'Pring,33.0,T2/2,5.0,"6,000","21,650", , , , , , , , , , 
Alliance Exocomps Mk.II (Defence - Incomplete),Rare,Defence,,,,,Focused,Rogue,Thief,Resourceful,3 Days,10%,3.00%,25.0,85%,Away Teams Credits,Archaeologist,2.0,7.0,Rogue,10.0,7.0,D'Vana Tendi,32.0,T2/3,6.0,"7,000","28,650", , , , , , , , , , 
Alliance Exocomps Mk.II (Health - Incomplete),Rare,Health,,,,,Leader,Rogue,Thief,Resourceful,3 Days,10%,3.00%,25.0,85%,Axionic Biochips,Assimilated,6.0,8.0,Thief,10.0,8.0,Ent-E Riker,32.0,T2/4,7.0,"8,850","37,500", , , , , , , , , , 
Alliance Exocomps Mk.III (Attack - Incomplete),Rare,Attack,,,,,Relentless,Rogue,Thief,Resourceful,3 Days,10%,3.00%,25.0,85%,Axionic Chips,Astronomer,1.0,9.0,Physicist,9.0,9.0,SNW James Kirk,32.0,T3/1,8.0,"10,000","47,500", , , , , , , , , , 
Alliance Exocomps Mk.III (Defence - Incomplete),Rare,Defence,,,,,Focused,Rogue,Thief,Resourceful,3 Days,10%,3.00%,25.0,85%,Broken Battleship Parts,Augment,7.0,10.0,Analytical,8.0,10.0,Ent-E Picard,31.0,T3/2,9.0,"4,000","51,500", , , , , , , , , , 
Alliance Exocomps Mk.III (Health - Incomplete),Rare,Health,,,,,Leader,Rogue,Thief,Resourceful,3 Days,25%,3.00%,25.0,100%,Broken Explorer Parts,Calculated,2.0,11.0,Specialist,8.0,11.0,Eleven Of Eleven,30.0,T3/3,10.0,"7,000","58,500", , , , , , , , , , 
