Headings,Immed. Value,Upgrade Value,Overall Score,Notes (Score's descriptions are on the Instructions Sheet.),Headings.1,Effect,Cause,Use,"Captain Manouver, Below Decks and Officer Ability"
0718,5.0,5.0,5.0,Captain: Station only,0718,,,,CM: Increase Critical Hit chance when defending the station OA: Increase Defence of all Officers on the ship
Ahvix,4.0,4.0,4.0,Captain & Officer: vs. Eclipse only! Officer: useless - too weak!!,Ahvix,,,,CM: Increase Critical hit chance for the first 3 rounds against Eclipse. OA: Chance to decrease Eclipse hostile's mitigation by 40%
Airiam,2.0,4.0,3.0,Captain: Isogen Mining; Officer: Capture Node only,Airiam,Burning,Y,,CM: Increase Mining Speed (Isogen) OA: Chance to Inflict Burning when defending a node.
Alonzo Freeman,4.0,3.0,3.5,Below Decks: Increases FKR rep; Officer: Increases max cargo,Alonzo Freeman,,,,"BDA: Increases Federation, Romulan and Klingon reputation gained from defeating hostiles OA: Increases Cargo Size of the ship"
Andy Billups,1.0,1.0,1.0,Below Deck: Increase Isolytic Defence if on an Battleship and enemy player has Burning; Officer: Huge Isolytic Cascade damage increase when fighting players whilst on an Interceptor and enemy player has Hull Breach,Andy Billups,Burning,,Y,"BDA: On round start, if on a Battleship and Enemy Player has Burning, Increases Isolytic Defense for 1 round OA: On round start, if on an Interceptor and Enemy Player has Hull Breach, Increase Isolytic Cascade for 1 round"
Arix,5.0,5.0,5.0,Captain: very low chance of a 1x Round Burning;  Officer: too hard to activate,Arix,Burning,Y,,CM: Chance to cause Burning to opponent after hitting it with energy weapon OA: Increase Armor when ship has less than 70% Hull Health
Arkady,5.0,5.0,5.0,Captain: **FIXED** - Correctly gives 2 rounds of Morale.,Arkady,Morale,Y,,CM: Chance to inspire Morale for 3 rounds when Shield is depleted OA: Increase Shield Health
Arrock,1.0,3.0,2.0,Captain: Good increase to Concentrated Latinum mining; Officer: Increase to mining speed.,Arrock,,,,CM: Increase Mining speed (Concentrated Latinum) OA: Increase Mining Speed
Azetbur,4.0,3.5,3.5,Captain: Small chance to get you a Hull Breach; Officer = only increase of BASE values !,Azetbur,Breach,Y,,CM: Chance to cause Hull Breach for 2 rounds after hitting with kinetic weapon OA: Increase Armor Piercing every time the ship hits
B'Elanna Torres,4.0,1.0,2.5,Below Decks: Chance each round to apply Hull Breach to non-Player hostiles or Armada; Officer: Increases Penetration against non-player when hit,B'Elanna Torres,Breach,Y,,"BDA: Chance to apply Hull Breach to non-player or Armada for 1 round OA: When taking damage from non-player or Armada, increases Armor Piercing, Shield Piercing and Accuracy by % of Attack for 1 round"
B'Etor,2.0,2.0,2.0,Captain: Increase Cloaking duration; Officer: Increases the Amalgam bonus loot ability,B'Etor,,,,"CM: When on a ship that can use cloaking, B'Etor increases the duration the ship can stay cloaked OA: When on the Amalgam, B'Etor boosts the Amalgam's bonus loot ship ability"
Ba'el,3.5,2.0,2.5,"Captain: Small increase to base damage; Officer: Anti Trinity officer to counter Armor Piercing, increases Armor based on officer attack.",Ba'el,,,,CM: Increase Weapon Damage OA: Increase Armor by Crew Attack
Badgey,2.5,3.0,2.5,Below Decks: Small increase to Penetration; Officer: Decreased opponents mitigation by a small amount.,Badgey,,,,"BDA: Increases Armor Penetration, Shield Penetration and Accuracy OA: Decreases Armor, Shield and Dodge of all non-Armada targets"
Barot,2.0,3.5,2.5,Captain: Crystal mining;  Officer ability: (**Broken does not work**),Barot,,,,CM: Increase Mining Speed (Crystal) OA: Decrease opponet's Hull Health at start of battle if mining
Beckett Mariner,2.0,2.5,2.0,Below Decks: Reasonable increase to damage; Officer Ability: Small increase of Officer's Attack,Beckett Mariner,,,,BDA: Increase ship's Weapon Damage OA: Increases Attack of all Officers on the ship
Benjamin Sisko,1.0,1.0,1.0,Captain: Good in mitigation against Armadas; Officer: Good increase in Criticals against Armadas.,Benjamin Sisko,,,,"CM: Increases Armour, Shield Deflection and Doddge by % of crews Health against armadas. OA: Increases Critical Hit Chance against Armadas (Cumulative)"
Beverly Crusher,1.0,1.5,1.0,3 in 1 Officer - both abilities extremly good - only for PvE and Armada,Beverly Crusher,,,,"CM: When fighting Hostiles and Armadas, restore Shield by % of crew's Health OA: When fighting Hostiles and Armadas, increase mitigation by % of crew's Defence."
Bones,1.5,1.0,1.0,Captain: boost all combat abilities = can boost spock to 1065% and Kirk to 100%,Bones,,,,CM: Increase Officer abilities during combat OA: Increase Defence of all Officers on the bridge when hit
Borg Queen,4.0,3.5,3.5,Below Decks: Increases penetration stats against players with Assimilate effect; Officer: Increase critical chance against Borg Solo armadas cumulatively when hit.,Borg Queen,Assimilate,,Y,"BDA: While fighting a player ship with Assimilate, increase ship's Armor Piercing, Shield Piercing and Accuracy. Cumulative. OA: While fighting a Borg Solo Armada, upon receiving Hull Damage, from an enemy shot, increase Critical Hit Chance"
Brad Boimler,0.0,3.0,3.0,Below Decks: Reasonable increase to mitigation; Officer Ability: Small increase to piercing stats,Brad Boimler,,,,"BDA: Increase Armor, Shield Deflection, and Dodge OA: Increase Armor Piercing, Shield Piercing and Accuracy"
Cadet Kirk,1.5,1.5,1.5,"Captain: very weak, but can cause Temporary Hit points; Officer: Dmg Buff is twice as displayed",Cadet Kirk,,,,CM: Increase all Officer stats on Bridge OA: Increase Weapon Damage
Cadet McCoy,1.5,1.0,1.0,Captain: useless; Officer: recommended boost Cadet Uhura´s captain ability,Cadet McCoy,,,,CM: Increase Health of all Officers on the ship OA: Increase Captains Maneuver
Cadet Scotty,1.0,1.0,1.0,Captain: useless; Officer: Increase Warp Range  (up to +5),Cadet Scotty,,,,CM: Increase Hull Health OA: Increase Warp Distance
Cadet Sulu,4.5,5.0,4.5,Captain: useless; Officer: useless = Bridge only increase,Cadet Sulu,,,,CM: Increase Damage for first round OA: Increase Attack of all Officers on the ship (** Broken Bridge ONLY **)
Cadet Uhura,1.0,1.0,1.0,"Captain: Damage Reduction Ability, very usefull; Officer: very small Shield increase",Cadet Uhura,,,,CM: Decrease opponents Weapon Damage OA: Increase Shield Health
Captain Tilly,2.0,2.5,2.0,Captain: does not work ??; Officer: max mitigation over time,Captain Tilly,Breach,,Y,"CM: Increase Mitigation by Health, when on attacking on a capture node and opponent has Hull Breach OA: Increase Mitigation by Health when opponent has Hull Breach"
Carol,2.5,3.0,2.5,Captain: Small Damage (below 10%) reduction WHEN attacked; Officer: Dmg Buff is twice as displayed,Carol,,,,CM: Decrease opponents Damage when defending in battle OA: Increase Weapon Damage
Carol Freeman,1.0,1.0,1.0,Captain: Increase shots when fighting players; Officer: Huge Isolytic Cascade damage increase when fighting players.,Carol Freeman,Burning,,Y,"CM: On combat start against Players, Increase shots OA: On round start, if the Enemy Player has Any State, Increase Isolytic Cascade damage for 1 round"
Cath,2.0,1.0,1.5,"Captain: Simple repair cost reduction; Officer: Kinetic damage reduction, like T'Laan, but better.",Cath,,,,CM: Increase Repair Cost Efficient of ship OA: Decrease Kinetic Damage dealt by Hostiles
Chakotay,1.0,1.0,1.0,Captain: Increases shots Vs Armadas; Increases Crit chance Vs Armadas each time you hit.,Chakotay,,,,CM: Increases number of shots versus Armadas OA: Increases Critical Hit Chance for 2 rounds each time you hit an Armada
Chang,4.0,3.0,3.5,Captain: weak damage buff with condition; Officer: too much effort to activate - not worth it,Chang,Breach,,Y,CM: Increase Damage if opponent Hull Health under 60% OA: Chance to delay opponent's weapon fire for 1 round with a Critical Hit on Hull Breach
Changeling Kira,3.0,2.5,2.5,Captain: Reduces crit chance of Cardassian armadas; Officer: Reduces Armada mitigation with every hit,Changeling Kira,,,,"CM: Decreases hit chance of Cardassian Armadas (Cumulative) OA: Decreases Armor, Shield Deflection and Dodge of Armadas"
Charvanek,3.0,1.0,2.0,Captain: activation condition makes it very impractical; Offficer: needs at least Rank 3+ and 5000+ Health stats,Charvanek,Burning,Y,,CM: Chance to cause Burning for 3 rounds when Hull Health is lower than 80% OA: Increase Armour Piercing by Health
Chen,1.0,1.0,1.0,Captain: Don´t bother - tiny increase; Officer: Energy Dmg reduction - MAX as fast as possible,Chen,,,,CM: Increase Mitigations against Hostiles OA: Decrease Energy damage dealt by Hostiles
Culber,2.0,2.0,2.0,Captain: useless; Officer:  pair him with blue (cpt) Stamets on a Discovery - no where else!,Culber,,,,CM: Health to Armour when defending on a Capture Node OA: Increase to Jumping and Summoning Cost Efficiency
D'Jaoki,3.0,2.0,2.5,"Officer: Tooltip is now correct, he increases your Defense Mitigation; try to max him; DOES NOT WORK for Armadas",D'Jaoki,Burning,,Y,CM: Increase Officers Health for 1 minute after winning a battle OA: Increases Mitigation by % of Officer Health whilst opponent is burning (Tooltip incorrect)
D'Vana Tendi,1.0,1.5,1.0,Below Decks: Increase Hull Health; Officer: Increase Health of all officers by a small amount.,D'Vana Tendi,,,,BDA: Increase ship's Hull Health OA: Increases Health of all Officers on the ship
Dajash Tolra,0.0,0.0,0.0,Captain: Good increase in loot from Armadas and hostiles; Officer: Increases weapon shots against Armadas and Invading Entities,Dajash Tolra,,,,CM: Increases base Loot gained from Armadas and Hosiltes OA: Chance to increase base weapon shots by 100% every round against Armadas and Invading Entities for 2 rounds
Damar,1.0,2.0,1.5,"Captain: Increases Crit Chance, but would need a non synergy offcier to cause Breach; Officer: Decreases opponent's Damage when breached.",Damar,Breach,,Y,"CM: When on an Interceptor and fighting a player with Hull Breach, when scoring a critical, increases Critical Hit Chance OA: Whilst on Interceptor and fighting a player with Hull Breach, when scoring a critical, decreases opponent's Critical Hit Damage 3 rounds"
Dane,0.0,0.0,0.0,Below Deck: Increases your ship's base Impulse Speed ; Officer: Increases the amount of loot gained from defeating Mirror Universe Hostiles when assigned to the NSEA Protector,Dane,,,,BDA: Increases your ship's base Impulse Speed OA: Increases the amount of loot gained from defeating Mirror Universe Hostiles when assigned to the NSEA Protector
Darwin,4.0,4.5,4.0,Captain: useless; Officer: on Interceptor only - xp bonus,Darwin,,,,CM: Increase Weapon Damage when attacked by a player OA: Increase Ship XP earned on Interceptors
Data,4.0,3.5,3.5,"Captain: Little crit Bonus, not worth taking;  Officer ability: Because it's a BASE Bonus, too weak. Should Start at 300% or 500%",Data,,,,"CM: Increase Critical Hit Chance against Hostiles and Armadas OA: When fighting Non-Player targets, including Mission Hostiles, Increase Penetration."
Deanna Troi,2.0,3.5,2.5,Captain: Potential to be great for one member of an armada team; Officer: Increase to damage against Romulan Hostiles and Armadas,Deanna Troi,,,,CM: Reduces the Crit Chance of Armada Targets OA: Increases Weapon Damage against Romulan Hostiles and Armadas
Decius,2.0,1.0,1.5,"Captain: even with full synergy, only small increase; Officer: stacks up fast, make sure you can take the hits",Decius,,,,"CM: Increase Accuracy, Armor Piercing and Shield Piercing against stronger ships. OA: Increase Damage each time the ship gets hit"
DeMarco,0.0,0.0,0.0,Below Deck: Increases Isolytic Cascade Damage in PvP when the enemy player has any state; Officer: Increases Isolytic Cascade damage against Armadas and Invading Entities,DeMarco,Burning,,Y,BDA: Increases Isolytic Cascade Damage in PvP when the enemy player has any state OA: Increases Isolytic Cascade damage against Armadas and Invading Entities
Dezoc,3.0,3.5,3.0,"Below Decks: Chance to apply the Assimilate for 4 rounds, reducing oponets officer abilites; Officer: Increases officer stats whilst fighting Borg Solo armadas.",Dezoc,Assimilate,Y,,"BDA: At the start of each round, if opponents hull is below 95%, chance to apply Assimilate for 4 rounds OA: While fighting a Borg Solo Armada, increase all officer stats for the duration of combat"
Dixon Hill,2.5,3.0,2.5,"Below Decks:  Increases Mining Speed; Officer: When defending a mining node, reducese Shield Deflection per round, cumulatively",Dixon Hill,,,,"BDA: Increases Mining Speed OA: While Defending a mining node, reduces Shield Mitigation every round (Cumulative)"
Doctor T'Ana,1.0,1.0,1.0,"Below Decks: On round start, increases Iso Defense against players for 1 round; Officer: At round start, chance to apply a random state to enemy player for 3 rounds.",Doctor T'Ana,Burning,Y,,"BDA: On round start, increases Isolytic Defense for 1 round OA: On round start, chance to apply a random state to enemy player of 3 rounds"
Domitia,2.0,4.0,3.0,"Officer: buggy Warp Speed boost, unequip her-save setup-re-equip her to get the speed back",Domitia,,,,CM: Increase Dilithium mining rate OA: Increase Warp Speed when Cargo is full
Dupont,3.0,1.5,2.0,Captain: Useful 3 Star all-around Mining boost; Officer: Protected Cargo ability (exact copy of T'Pring),Dupont,,,,"CM: Increase G3 Crystal, Gas and Mining Speed OA: Increase Protected Cargo"
Eight Of Eleven,3.0,3.5,3.0,"Captain: vs. Borg only; Powerful ""Attack stat boost""",Eight Of Eleven,,,,CM: Increase Critical Hit chance against Borg OA: Increase Attack of all Officers on the ship
Eleven Of Eleven,1.0,4.0,2.5,"Captain: Better version of Barot's Crystal bonus; Officer: Warp speed bost, not worth the cost to upgrade whilst you have other Borg officers still to do.",Eleven Of Eleven,,,,CM: Increase Mining Speed (Crystal) OA: Increase Warp Speed
Emperor Georgiou,2.0,3.0,2.5,"Captain & Officer: capure node only!! Officer: has potential, needs more testing",Emperor Georgiou,,,,"CM: When attacking a player during takeover. Decrease opponent's Officer Defence OA: When attacking a player on a capture node, Increase number of shots at start of each round."
Ent-E Data,1.0,1.0,1.0,Below Deck: Increase Max Cargo; Officer: Increase Isolytic Cascade Damage against non-armada hostiles,Ent-E Data,,,,BDA: Increases ship's Max Cargo OA: Increases Isolytic Cascade Damage versus non-Armada Hostile
Ent-E Picard,1.0,1.0,1.0,Captain: Increase rewards from Armadas and Hostiles; Increase Cascade Damage for 3 rouns when you hit a non-armada hostile,Ent-E Picard,,,,CM: Increases the rewards gained from Hostiles and Armadas OA: Increases Isolytic Cascade Damage for 3 rounds each time you hit an non-Armada Hostile (once per weapon)
Ent-E Riker,1.0,1.0,1.0,"Captain: Increase your ships Impulse Speed; Officer: Increase Critical Chance for 4 rounds, each time you hit a target, once per weapon",Ent-E Riker,,,,CM: Increases your ship's base Impulse Speed OA: Increases Critical Hit Chance for 4 rounds each time you score a hit (Once per weapon)
Ent-E Troi,1.0,1.0,1.0,Below Decks: Increases Critical Damage against Armadas and Hostiles; Officer: Reduces non-armada hostiles shield health by % of Attack at the beginning of each round,Ent-E Troi,,,,BDA: Increases Critical Hit Damage versus Armadas and Hostiles OA: Reduces the opponent's shield by % of Officer Attack at the beginning of each round versus non-Armada Hostiles
Eurydice,3.0,3.0,3.0,Captain: stacking dmg buff; Officer: needs to be maxed!! then combine with Cpt Pike to get to 100% chance,Eurydice,,,,CM: Increase Damage when taking SHP damage OA: Chance to heal 5% shields when they are depleted
Fess,1.0,3.5,2.0,Captain: Average mining speed boost; Officer: **REDUCES** protected cargo. Amount of reduction decreases when ranked up.,Fess,,,,CM: Increase base mining speed OA: Reduce Protected Cargo
Five Of Eleven,1.0,1.0,1.0,Captain: Increase Mitigation - very powerful; Officer: Increases loot from Hostiles & Armadas,Five Of Eleven,,,,CM: Increase Mitigation by Officer Health OA: Increase Resources dropped
Four Of Eleven,1.0,1.0,1.0,Captain: Better version of Stonn Ore bonus; Officer: At rank 1 already better than a maxed Stonn.,Four Of Eleven,,,,CM: Increase Ore mining speed OA: Increase Cargo Size
Gaila,3.5,1.5,2.5,"Officer: max Gaila to reduce critical dmg, multiple player can combine her ability up to 0 damage crits",Gaila,,,,CM: Increase Parsteel rewards from Hostiles OA: Decrease Critical Damage from Hostiles
Garak,1.0,2.0,1.5,Captain: Reduced opponets crit damage when breached; Officer: Increases crit chance when opponet breached.,Garak,Breach,,Y,"CM: When on an Interceptor and fighting a player with Hull Breach. Each round, reduces opponent's Kritical Weapon Damage. OA: When on an Interceptor and fighting a player with Hull Breach. Each round, Increases Critical Hit Chance"
Geordi La Forge,3.0,4.0,3.5,"Captain: Loot Bonus, take it or leave it; Officer: Terrible - use L'Nar instead!",Geordi La Forge,,,,CM: Increase Rewards from Armadas OA: Increase Weapon Damage against Klingon Hostiles and Armadas
Georgiou,1.0,1.0,1.0,"Captain: PvP only; not effective; Officer: best Burning in the game , needs to get to Rank 3+",Georgiou,Burning,Y,Y,CM: Decrease opponents officers attack when opponent is burning OA: Chance to deal Burning for two rounds at the start of each round
Ghalenar,1.5,1.5,1.5,Below Decks: Increase drops from Actian Apex and Borg; Officer: Increase Faction Rep,Ghalenar,,,,"BDA: Increases the amount of resources dropped from Actian Apex and Borg hostiles by a percentage of base. OA: Increases Faction Reptation gained from Fed, Kling and Rom hostiles"
Ghrush,1.0,1.0,1.0,"Captain: Nice 100% increase to protected cargo, currently no synergy officers; Officer: First officer to increase warp by a percentage instead of a fixed amount.",Ghrush,,,,CM: Increase Protected Cargo OA: Increase Warp Range
Gonzales,4.0,4.0,4.0,Captain & Officer abiliies:  surprisingly good on a Stella versus Ecplise Hostiles and even Armadas,Gonzales,,,,CM: Increase Critical Hit Chance against Hostiles OA: Increase Critical Hit Damage against Hostiles
Goon,2.5,3.5,3.0,Captain: first Round buff; Officer: XP boost  -  never needed him,Goon,,,,CM: Inctease Critical Hit Chance against Hostiles for first round OA: Increase Ship XP gained while fighting
Gorkon,1.5,1.5,1.5,"Captain: short fight ability; Officer: Very good ""Hull Breach"" source; When Klingon algined easy to Level",Gorkon,Breach,Y,,CM: Increase Critical Hit Chances for first 2 rounds OA: Chance to cause Hull Breach for 3 rounds when hitting with Critical Hit
Gossa,4.0,4.0,4.0,Below Decks: Increases mitigation cumulatively when fighting players with Assimilate effect; Officer: Reduce Borg Solo critical damage for a round,Gossa,Assimilate,,Y,"BDA: When fighting a player ship with Assimilate, increase the ship's Armour, Shield Deflection and Dodge (Cumulative) OA: When fighting against a Borg Solo Armada, at the start of each round, reduce target's Damage for 1 round"
Gowron,3.5,3.0,3.0,"Captain: Small increase to Energy weapon damage; Officer: Anti Trinity officer to counter Shield Penetration, increases Shield Deflection based on officer Health",Gowron,,,,CM: Increase Energy Weapon Damage OA: Increase ship's Shield Deflection by Health of crew
Gul Dukat,1.0,2.0,1.5,Captain: Great source of Hull Breach at all synergy; Officer: Potentiallay awesome shot increasing ability.,Gul Dukat,Breach,Y,Y,"CM: While on an Interceptor fighting a player, at the start of a round, chance to apply Hull Breach for 3 rounds. OA: When shot while on an Interceptor, fighting a player with Hull Breach, increase number of shots per weapon for 5 rounds"
Hadley,3.0,4.5,3.5,Do not bother with this officer,Hadley,,,,CM: Increase Warp Speed of ship OA: Increase Exoerience gained on Survey Ships
Harrison,1.0,1.0,1.0,Officer: (first Round only!) good for offensive and Defense; allows you HEAVY damage attacks in the first round,Harrison,,,,CM: Increase Damage against Explorers OA: Ignore % of opponents shield for the first round of combat
Harry Kim,4.0,2.0,3.0,Below Decks: Chance each round to apply Morale to non-Player hostiles or Armada; Officer: Increases positive reputaion gain,Harry Kim,Morale,Y,,BDA: Chance to apply Morale to non-player or Armada for 1 round OA: Increases all positive Reputation gains
Harry Mudd,3.0,3.0,3.0,Captain: Shields absorb additional damage (only 2 rounds!) ; Officer : small chance of double shot (first round only!),Harry Mudd,,,,CM: Chance to have 98% Shield Mitigation for the first two combat rounds OA: Chance of Double Shots in the first round
Helvia,2.0,4.0,3.0,Officer: pretty good Warp speed buff for your Miners - or for quick PvP action,Helvia,,,,CM: Increase Parsteel mining OA: Increase Warp Speed when Cargo is empty
Hendorff,3.5,4.5,4.0,Do not bother with this officer,Hendorff,,,,CM: Increase mitigation when Hull Health is below 60% of Health at start of battle OA: Increase Ship XP on Explorers
Honorguard Worf,1.0,1.0,1.0,"Captain: Weak increase to Piercing, especially compared to Charvanek; Officer: Great increase to critical, straight out of the box; good for early round wins.",Honorguard Worf,,,,"CM: When fighting other players, increases Armor Piercing by % of Crew Attack whenever ship scores a critical hit OA: For the first 8 rounds of combat against other players, increases the Critical Hit Chance of the ship"
Hoshi Sato,3.0,3.0,3.0,Below Decks: Increases Max Cargo size of ship; Officer: Increases Gas mining speed.,Hoshi Sato,,,,BDA: Increases Gas mining speed OA: Increases Cargo Size of the ship
Hugh,1.0,1.0,1.0,Below Deck: Excellent increase to Crit Chance for 2 rounds when hit; Officer: Increses Impulse speed.,Hugh,,,,BDA: Chance to increase the Critical Hit Chance for 2 rounds after being hit by a hostile. OA: Increases Impulse Speed of ship
Ikat'ika,1.5,2.5,2.0,Captain: Small increase mitigations stats in PvP when on Explorer; Officer: Reasonable increase in power in PvP when on Explorer,Ikat'ika,Morale,,Y,"CM: Increases all Mitigation stats for 1 round, every round, when fighting players and on an Explorer. OA: Increases Weapon Damage at the start of each round, for 3 rounds, when fighting players, and on an Explorer with Morale"
Instructor Spock,3.5,3.5,3.5,Captain: incorrect Dmg Buff tooltip - double it; Officer very weak base increase,Instructor Spock,,,,CM: Increase Damage OA: Increase Mitigation
Jack Ransom,1.0,1.0,1.0,Below Deck: Increase Isolytic Defence if on an Interceptor and enemy player has Hull Breach; Officer: Huge Isolytic Cascade damage increase when fighting players whilst on an Explorer with Morale,Jack Ransom,Breach,,Y,"BDA: On round start, if on an Interceptor and Enemy Player has Hull Breach, Increases Isolytic Defense for 1 round OA: On round start, if on an Explorer with Morale, Increase Isolytic Cascade for 1 round"
Jadzia Dax,1.5,1.0,1.0,Captain: Good increase in Shield and Armor piercing and Accuracy against Solo Armadas; Officer:Good increase in damage against Solo Armadas,Jadzia Dax,,,,"CM: Increase Shield Piercing, Armor Piercing, and Accuracy by Officer Health against Solo Armada OA: Increase Weapon Damage by Health of crew against Solo Armadas"
Javaid,4.0,4.0,4.0,Captain: super weak piercing increase; Officer: super weak base Armor increase,Javaid,,,,CM: Increase Shield Piercing OA: Increase Armor on a battleship
Jaylah,2.0,2.0,2.0,"Captiain: Increase loot, similar to Five Of Eleven BUT: for Franky only; Officer: Great increase in firepower against Swarms on any Franky.",Jaylah,,,,CM: Increase Resources from hostiles when in any Franklin OA: Increase number of shots against Swarms in any Franklin
Jean-Luc Picard,1.0,2.0,1.5,Captain: Same as Pike's but written correctly! Officer: Increased crit damage to Hostiles and Armadas,Jean-Luc Picard,,,,CM: Increase the effectiveness of all Officer Abilities that trigger in combat OA: Increase Critical Damage against Hostiles and Armadas
Joachim,2.5,3.5,3.0,Captain: only Defense Plattforms protection -but- only 1 round; Officer: Damage reduction too small,Joachim,,,,CM: Chance to drastically increase ship mitigation against Stations for first round OA: Decrease all opponents ships and defence platform damage in Station Combat
Joaquin,1.5,3.0,2.0,Captain: Protected Cargo up to 100%  - very usefull; Officer: independent Credits are to valuable to max him,Joaquin,,,,CM: Increase Protected Cargo OA: Increase Data Mining Speed
Jonathan Archer,1.0,3.0,2.0,"Captain: Increases the amount of resources you get from destroying Xindi hostiles; Officer: When you take damage from a hostile or another player, Jonathan Archer increases your Critical Hit damage",Jonathan Archer,,,,"CM: Increase the amount of resources you get from destroying Xindi hostiles OA: When you take damage from a hostile or another player, increase Critical Hit Damage for 2 rounds"
Julian Bashir,1.0,1.0,1.0,Captain: Increase damage against Solo Armadas; Officer:Increase Critical Hit Chance against Solo Armadas.,Julian Bashir,,,,CM: Increase Critical Hit Damage against Solo Armadas OA: Increase Critical Hit Chance against Solo Armadas
K'Bisch,5.0,5.0,5.0,Officer: Ability now works,K'Bisch,,,,CM: Increase Tritanium mining rate OA: Decrease Damage taken when mining (*Bugged*)
Kang,3.0,2.0,2.5,Captain: **Tooltip Error** ONLY 2 Rounds of Hull Breach;  Officer: get him to Rank 3+,Kang,Breach,Y,,CM: Chance to cause Hull Breach at the start of combat OA: Increase Accuracy by Crews Attack
Kathryn Janeway,1.0,1.0,1.0,Captain: Increases Shield Mitigation when hit by a weapon; Officer: Increases Isolytic damage but a significant amount,Kathryn Janeway,,,,"CM: When you take hull damage from a non-player hostile os Armada, Increase Shield Mitigation for 1 round (cumulative) OA: At the start of combat, increases Isolytic damage against non-player hostile and armadas"
Kati,4.0,3.5,3.5,"Capain: Crit Bonus too low; Officer: Base attacks only, works best with Cpt Khan's criticals",Kati,,,,CM: Increase Critical Hit Chances against Defence Platforms OA: Increase Critical Hit Damage in Station Combat
Keenser,5.0,4.5,4.5,Captain & Officer; station only;  one of the best blue Defense stats if maxed,Keenser,,,,CM: Increase Hull Health as long as ship is in the station OA: Increase Shield Health as long as ship is in the station
Kerla,2.0,2.5,2.0,Captain: useless!;  Officer: crit Bonus gets further boosted by Hull Breach,Kerla,,,,CM: Increase Dodge when the Shields are deleted OA: Increase Critical Damage with Kinetic Weapons
Khan,1.0,1.0,1.0,Captain: BEST Base attack captain; Officer: best critical chance bonus in game,Khan,,,,CM: Chance to dramatically Decrease opponent's station and ship mitigation for 2 rounds OA: Increase Critical Chances every time the ship gets hit
Kira Nerys,2.5,2.5,2.5,Below Decks: Reduces opponent player's Critical Hit Chance; Officer: Decreses Assault target shield deflection,Kira Nerys,,,,BDA: Reduce opponent player Critical Hit Chance OA: Decreases Shield Mitigation by
Kirk,1.0,1.0,1.0,Captain: can generate Temporary Hit points; Officer: BEST morale source in game,Kirk,Morale,Y,Y,CM: Increase all officer stats when the ship has Morale OA: Chance to inspire Morale to his ship for 2 rounds
Klaa,1.5,4.0,2.5,Captain: best solo officer speed source!; Officer: critical Damage increase against EVERYTHING,Klaa,,,,CM: Increase Impulse Speed OA: Increase Critical Hit Damage
Komal,4.5,5.0,4.5,"Captain & Officer: PvP only, very weak effects",Komal,,,,CM: Increase Weapon Damage of Battleships against players OA: Decrease Kinetic Weapon Damage from enemy players
Koth,4.5,4.5,4.5,Captain: very small dmg bonus; Officer: don´t bother too much effort for a tiny dmg bonus,Koth,Breach,,Y,CM: Increase Repair speed on this ship if it is an Interceptor OA: Increase Kinetic damage while opponent has Hull Breach
Kras,4.0,3.0,3.5,"Captain & Officer: PvP only, very weak effects, very good ""Lower Deck"" Officer",Kras,,,,CM: Decrease opponents Captain's Maneuver effectiveness OA: Decrease all the stats of the opponents Bridge Officers
