																													
	Neelix Impact and Loot Calculator																												
	PLEASE MAKE A COPY FOR YOURSELF			Current 8472 Exchange					Highest Possible 8472 Exchange				Neelix impact on Max Tier Recommendation								Neelix Officer Ability								
	Factors	Variables	Effects		Cost	Summons per 3 days	Loot needed per hostile		Pull every 3 days	Voyager Tier	Loot needed per hostile		Tier	Effect	Hostile Summon	Uses per 3 days	1 chest	2 chest	3 chest		Tier	Effect	Hostile Summon	Uses per 3 days	Base Scanning	Uses per 3 days			
	Current Voyager Tier	5		1 Chest	9,400	12.6	746		1 Chest	#NAME?	#NAME?		-	0%	500	9	#NAME?	#NAME?	#NAME?		-	0%	500	9	750	6			
	Highest Warp	535		2 Chest	18,800	12.6	1,492		2 Chest	#NAME?	#NAME?		T1	40%	357	12.6	#NAME?	#NAME?	#NAME?		T1	40%	357	12.6	536	8.4			
	Neelix Tier	T1	40%	3 Chest	32,800	12.6	2,603		3 Chest	#NAME?	#NAME?		T2	55%	323	14	#NAME?	#NAME?	#NAME?		T2	55%	323	14	484	9.3			
	Loot Bonuses	Total:	#NAME?	Current 8472 Capability		Your loot:	#NAME?						T3	75%	286	15.8	#NAME?	#NAME?	#NAME?		T3	75%	286	15.8	429	10.5			
	Voyager Hostile Salvaging	12 (RD51)	50%	Level	53						JC was here:)		T4	100%	250	18	#NAME?	#NAME?	#NAME?		T4	100%	250	18	375	12			
	5 of 11	T4	80%	Warp	535								T5	130%	217	20.7	#NAME?	#NAME?	#NAME?		T5	130%	217	20.7	326	13.8			
	The Doctor	T1	15%		Low	Average	High																						
	Incursion Loot Exo	not used	0%	Base Loot	2,645	2,732	2,819																						
	By: JulesVern & BlueMandalorian										Rev: 8/26/2023																		
																													
										v RAW DATA HIDDEN  BELOW v																			
																													
	LOOT BONUSES																												
	5 of 11			Doc			8472 Base Biotoxin Loot						Neelix Effect																
	Tier	Effect		Tier	Effect		Warp*	Level	low	high	average		Tier	1 Chest	2 Chest	3 Chest	-	T1	T2	T3	T4	T5	Current						
	-	0%		-	0%		25	35	306	320	313		1	3,460	6,920	12,100	1,344	960	867	768	672	585	960						
	T1	20%		T1	15%		55	37	382	401	392		2	4,390	8,760	15,360	1,707	1,219	1,101	975	853	742	1,219						
	T2	40%		T2	20%		150	39	476	481	479		3	5,400	10,700	18,800	2,089	1,492	1,348	1,194	1,044	908	1,492						
	T3	60%		T3	30%		200	40	571	592	582		4	7,700	15,400	26,900	2,989	2,135	1,928	1,708	1,494	1,300	2,135						
	T4	80%		T4	35%		285	43	678	722	700		5	9,400	18,800	32,800	3,644	2,603	2,351	2,083	1,822	1,585	2,603						
	T5	100%		T5	50%		345	47	1372	1446	1409		6	19,100	38,200	66,800	7,422	5,302	4,789	4,241	3,711	3,227	5,302						
							405	50	1793	1797	1795		7	24,300	48,500	84,900	9,433	6,738	6,086	5,390	4,717	4,101	6,738						
				Incursion Loot Exo			460	51	2138	2246	2192		8	35,500	71,000	124,300	13,811	9,865	8,910	7,892	6,906	6,005	9,865						
