	High Resolution Imaging			Below Deck Assembly			Anti-Matter Recycler			Enhanced Warp Energy			Delta Quadrant Analysis			Sub-light Maneuvers			Voyager Tactics			Bio Neural Circuitry			Dismantle Tinkering			Faction Battle Tactics			Strengthened Defensive Sensors			Faction Armada Stratagem			Voyager Hostile Salvaging			Voyager Cargo			Excursion Efficiency			Haul Capacity			Voyager Bartering			Artifact Hunting Extraordinaire			Cargo Safeguarding			Voyager Repairs			Ship Maintenance Efficiency																			
	Voyager Anomaly Mining			Below Deck presets			Voyager Warp Range			Warp Speed			Superhighways			Impulse Speed			Voyager Hostile Damage			Research Speed			Scrap Speed			Faction Ship Hostile Damage			Hostile Mitigation			Faction Ship Armada Damage			Voyager Loot Gain			Voyager Cargo			Service Award Efficiency			Cargo			Voyager Ship Parts Efficiency			Extra Artifact Rolls			Protected Cargo			Voyager Repair Efficiency			Repair Efficiency																			
Level	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry	R+D	Bonus	Circuitry																	
1	34	700,000	15	34	Pre-set	5,010	34	25	80	34	20%	150	34	1	600	34	3	90	34	300%	100	34	20%	170	35	2%	190	34	25%	200	34	25%	240	34	50%	480	34	2%	80	34	100%	80	34	15%	240	35	5%	320	37	2%	250	34	1	950	36	20%	260	34	50%	200	34	40%	120																	
2	34	800,000	90				37	75	110	34	40%	280	40	2	1,030	35	4	190	37	400%	170	35	40%	210	40	5%	370	35	50%	250	34	50%	330	34	75%	590	34	5%	170	37	133%	90	34	20%	280	35	10%	360	39	4%	290	34	2	2,030	36	25%	300	34	90%	310	34	50%	160																	
3	34	1,000,000	140				39	125	160	35	60%	320	51	3	2,200	40	5	310	39	500%	260	35	60%	220	40	8%	530	36	75%	320	35	75%	450	40	100%	830	35	8%	290	39	166%	130	34	25%	320	39	15%	420	40	6%	370				40	30%	420	35	110%	350	40	60%	420																	
4	40	1,400,000	210				40	175	210	40	80%	620	60	4	2,880	40	6	390	40	700%	330	38	80%	300	40	12%	1,060	40	100%	460	40	100%	660	40	150%	1,200	40	12%	420	40	200%	250	40	30%	420	40	20%	700	43	8%	430				40	35%	460	40	140%	460	40	80%	480																	
5	40	1,500,000	290				43	225	340	40	100%	720				40	7	490	43	1000%	390	38	100%	380	40	16%	1,460	40	125%	520	40	130%	730	45	200%	1,390	40	16%	480	43	233%	390	40	35%	480	40	24%	820	47	10%	530				41	40%	510	40	170%	580	40	100%	840																	
6	40	1,700,000	410				47	275	410	45	120%	800				40	8	680	47	1300%	470	40	120%	620	45	25%	2,030	42	150%	690	40	170%	910	45	250%	1,610	40	20%	650	47	266%	470	40	40%	720	45	27%	890	50	12%	610				43	45%	560	40	200%	990	50	120%	1,230																	
7	40	1,800,000	550				50	325	550	45	140%	880				51	9	880	50	1600%	550	42	140%	960	51	35%	2,640	42	175%	860	45	200%	1,000	51	300%	2,200	40	24%	750	50	300%	680	40	45%	890	45	30%	1,560	51	14%	800				45	50%	620	40	225%	1,020	50	140%	1,360																	
8	51	2,800,000	800				51	375	800	50	160%	1,020				51	10	1,310	51	2000%	880	43	160%	1,060	51	45%	2,810	45	200%	1,020	45	230%	1,110	51	350%	2,340	51	30%	1,500	51	333%	1,060	40	50%	1,110	51	35%	2,150	53	16%	850				48	60%	1,020	51	250%	1,320	51	160%	2,640																	
