# Star Trek Fleet Command Help
Date: 2024-10-16

USER: 

ASSISTANT: It seems like your message might not have come through fully. How can I assist you with your Star Trek Fleet Command strategy today? Feel free to share your question or request!

USER: 

ASSISTANT: It seems like your message didn't come through again. If you have any questions or need advice on **Star Trek Fleet Command**, feel free to ask! I'm here to help with strategies, crew setups, ship upgrades, and anything else you might need.

USER: 

ASSISTANT: It looks like your message is still blank. If you're experiencing an issue, you can try refreshing the page or sending your message again. Whenever you're ready, feel free to ask anything related to **Star Trek Fleet Command**, and I'll be happy to assist you!

USER: I'm trying to upload excel files for you to analyze. Is there a reason it won't work?

ASSISTANT: Currently, I don't have the ability to analyze or interact with uploaded files, including Excel spreadsheets. However, if you're able to provide specific details or data from the file, I can help you analyze or interpret it.

For example, if you're tracking resource production, ship stats, or crew setups in your Excel file, you can either share some of the key data points here, or describe what you'd like help with, and I'll guide you through it.

Let me know what you're working on, and we can find a way to approach it!

USER: Territory Research Tree List				Inventory	4.30M	25,800	37,500	48,300	10,500	28,150		
				Left to do	124.13M	37,475	35,015	43,390	2,010	82,200	1,000	64.80B
All researches and their costs. Insert your inventory to determine your over/under.				Over/Under	119.83M	11,675	-2,485	-4,910	-8,490	54,050	1,000	64.80B
				Total	173.37M	71,100	72,714	76,374	9,180	270,135	3,000	79.86B
#	Done?	Research	lvl	R&D	Iso	Quantum	Surax	Phantom	Metreon	Resin	Prime	Dilithium
1	TRUE	1* isogen extraction	1	25	110							 15.20K
2	TRUE	1* isogen extraction	2	26	260							 24.25K
3	TRUE	1* isogen extraction	3	27	400							 36.75K
4	TRUE	1* isogen extraction	4	28	450							 56.00K
5	TRUE	1* isogen extraction	5	30	1,100							 134.00K
6	TRUE	1* isogen extraction	6	32	2,400							 300.00K
7	TRUE	1* isogen extraction	7	34	6,700							 745.00K
8	TRUE	1* isogen extraction	8	36	12,300							1.66M
9	TRUE	1* isogen extraction	9	38	27,500							3.86M
10	TRUE	1* isogen extraction	10	40	53,300							10.40M
11	TRUE	1* isogen extraction	11	42	104,000							22.45M
12	TRUE	1* isogen extraction	12	44	184,000							49.65M
13	TRUE	1* isogen extraction	13	46	283,000							98.75M
14	TRUE	1* isogen extraction	14	48	442,000							235.80M
15	TRUE	1* isogen extraction	15	50	720,000							708.80M
16	TRUE	enhanced piercing	1	25	160							 15.20K
17	TRUE	enhanced piercing	2	27	560							 36.75K
18	TRUE	enhanced piercing	3	28	640							 56.00K
19	TRUE	enhanced piercing	4	29	1,100							 86.50K
20	TRUE	enhanced piercing	5	30	1,600							 134.00K
21	TRUE	enhanced piercing	6	32	3,500							 300.00K
22	TRUE	enhanced piercing	7	34	8,400							 745.00K
23	TRUE	enhanced piercing	8	36	18,100							1.66M
24	TRUE	enhanced piercing	9	38	34,400							3.86M
25	TRUE	enhanced piercing	10	40	66,600							10.40M
26	TRUE	enhanced piercing	11	42	131,000							22.45M
27	TRUE	enhanced piercing	12	44	230,000							49.65M
28	TRUE	enhanced piercing	13	46	354,000							98.75M
